District Code,District Name,BLDG. NO.,Building Name,January State FTE F&RL Count,January Membership,2023 F&RL Percentage,Community Eligiblity Provision (CEP) Participating Building,,,,,,,
027-061,BOONVILLE R-I,1050,BOONVILLE HIGH, 195.50 , 508.90 ,38.40%,,,,,,,,
027-061,BOONVILLE R-I,3000,LAURA SPEED ELLIOTT MIDDLE, 317.10 , 318.11 ,99.70%,Yes,,,,,,,
027-061,BOONVILLE R-I,4020,HANNAH COLE PRIMARY, 321.70 , 321.71 ,100.00%,Yes,,,,,,,
027-061,BOONVILLE R-I,4040,DAVID BARTON ELEM., 329.10 , 329.25 ,100.00%,Yes,,,,,,,
028-101,CRAWFORD CO. R-I,1050,BOURBON HIGH SCHOOL, 110.00 , 258.00 ,42.60%,,,,,,,,
028-101,CRAWFORD CO. R-I,3000,BOURBON MIDDLE SCHOOL, 126.00 , 236.00 ,53.40%,,,,,,,,
028-101,CRAWFORD CO. R-I,4020,BOURBON ELEMENTARY SCHOOL, 171.00 , 290.50 ,58.90%,,,,,,,,
028-102,CRAWFORD CO. R-II,1050,CUBA HIGH, 187.40 , 422.50 ,44.40%,,,,,,,,
028-102,CRAWFORD CO. R-II,3000,CUBA MIDDLE, 207.00 , 381.00 ,54.30%,,,,,,,,
028-102,CRAWFORD CO. R-II,4020,CUBA ELEM., 265.00 , 455.00 ,58.20%,,,,,,,,
028-103,STEELVILLE R-III,1050,STEELVILLE HIGH, 127.00 , 283.00 ,44.90%,,,,,,,,
028-103,STEELVILLE R-III,3000,STEELVILLE MIDDLE, 169.00 , 268.00 ,63.10%,,,,,,,,
028-103,STEELVILLE R-III,4020,STEELVILLE ELEM., 195.00 , 332.00 ,58.70%,,,,,,,,
029-001,LOCKWOOD R-I,1050,LOCKWOOD HIGH, 35.00 , 77.28 ,45.30%,,,,,,,,
029-001,LOCKWOOD R-I,3000,LOCKWOOD MIDDLE SCHOOL, 25.00 , 41.26 ,60.60%,,,,,,,,
029-001,LOCKWOOD R-I,4020,LOCKWOOD ELEM., 78.00 , 135.02 ,57.80%,,,,,,,,
029-002,DADEVILLE R-II,1050,DADEVILLE SR. HIGH, 23.00 , 105.00 ,21.90%,,,,,,,,
029-002,DADEVILLE R-II,4020,Dadeville R-II School, 25.00 , 92.00 ,27.20%,,,,,,,,
029-003,EVERTON R-III,1050,EVERTON HIGH, 81.00 , 81.00 ,100.00%,Yes,,,,,,,
029-003,EVERTON R-III,4020,EVERTON ELEM., 64.00 , 64.00 ,100.00%,Yes,,,,,,,
029-004,GREENFIELD R-IV,1050,GREENFIELD HIGH, 79.90 , 149.85 ,53.30%,,,,,,,,
029-004,GREENFIELD R-IV,4020,GREENFIELD ELEM., 107.50 , 183.50 ,58.60%,,,,,,,,
030-093,DALLAS CO. R-I,1050,BUFFALO HIGH, 266.00 , 557.42 ,47.70%,,,,,,,,
030-093,DALLAS CO. R-I,3000,BUFFALO MIDDLE, 294.00 , 486.00 ,60.50%,,,,,,,,
030-093,DALLAS CO. R-I,4020,MALLORY ELEM., 367.00 , 619.02 ,59.30%,,,,,,,,
031-116,PATTONSBURG R-II,1050,PATTONSBURG HIGH, 49.00 , 87.00 ,56.30%,,,,,,,,
031-116,PATTONSBURG R-II,4020,PATTONSBURG ELEM., 70.00 , 97.00 ,72.20%,,,,,,,,
031-117,WINSTON R-VI,1050,WINSTON HIGH, 25.00 , 74.00 ,33.80%,,,,,,,,
031-117,WINSTON R-VI,4020,WINSTON ELEM., 23.00 , 56.00 ,41.10%,,,,,,,,
031-118,NORTH DAVIESS R-III,1050,NORTH DAVIESS HIGH, 27.00 , 27.00 ,100.00%,Yes,,,,,,,
031-118,NORTH DAVIESS R-III,4020,NORTH DAVIESS ELEM., 28.00 , 28.00 ,100.00%,Yes,,,,,,,
031-121,GALLATIN R-V,1050,GALLATIN HIGH, 54.00 , 161.00 ,33.50%,,,,,,,,
031-121,GALLATIN R-V,3000,GALLATIN MIDDLE SCHOOL, 60.00 , 164.26 ,36.50%,,,,,,,,
031-121,GALLATIN R-V,4020,COVEL D. SEARCY ELEM., 98.00 , 217.43 ,45.10%,,,,,,,,
031-122,TRI-COUNTY R-VII,1050,TRI-COUNTY HIGH, 28.00 , 64.00 ,43.80%,,,,,,,,
031-122,TRI-COUNTY R-VII,4020,TRI-COUNTY ELEM., 35.00 , 61.00 ,57.40%,,,,,,,,
032-054,OSBORN R-O,1050,OSBORN HIGH, 18.00 , 55.95 ,32.10%,,,,,,,,
032-054,OSBORN R-O,4020,OSBORN ELEM., 27.00 , 54.00 ,50.00%,,,,,,,,
032-055,MAYSVILLE R-I,1050,MAYSVILLE JR.-SR. HIGH, 92.00 , 259.19 ,35.50%,,,,,,,,
032-055,MAYSVILLE R-I,4060,MAYSVILLE ELEM., 113.20 , 263.25 ,43.00%,,,,,,,,
032-056,UNION STAR R-II,1050,UNION STAR HIGH, 28.00 , 84.00 ,33.30%,,,,,,,,
032-056,UNION STAR R-II,4020,UNION STAR ELEM., 30.00 , 66.00 ,45.50%,,,,,,,,
032-058,STEWARTSVILLE C-2,1050,STEWARTSVILLE HIGH, 23.00 , 100.00 ,23.00%,,,,,,,,
032-058,STEWARTSVILLE C-2,4020,STEWARTSVILLE ELEM., 30.00 , 157.00 ,19.10%,,,,,,,,
033-090,SALEM R-80,1050,SALEM SR. HIGH, 132.00 , 318.63 ,41.40%,,,,,,,,
033-090,SALEM R-80,2050,SALEM MIDDLE SCHOOL, 142.00 , 262.25 ,54.10%,Yes,,,,,,,
033-090,SALEM R-80,4020,WM. H. LYNCH ELEM., 76.00 , 150.00 ,50.70%,Yes,,,,,,,
033-090,SALEM R-80,4040,SALEM UPPER ELEM., 190.50 , 340.50 ,55.90%,Yes,,,,,,,
033-091,OAK HILL R-I,4020,OAK HILL ELEM., 89.00 , 139.00 ,64.00%,,,,,,,,
033-092,GREEN FOREST R-II,4020,GREEN FOREST ELEM., 88.00 , 152.00 ,57.90%,,,,,,,,
033-093,DENT-PHELPS R-III,4020,DENT-PHELPS ELEM., 128.00 , 265.00 ,48.30%,,,,,,,,
033-094,NORTH WOOD R-IV,4020,NORTH WOOD ELEM., 115.00 , 185.00 ,62.20%,,,,,,,,
034-121,SKYLINE R-II,4020,SKYLINE ELEM., 53.00 , 73.00 ,72.60%,,,,,,,,
034-122,PLAINVIEW R-VIII,4020,PLAINVIEW ELEM., 54.00 , 77.00 ,70.10%,,,,,,,,
034-124,AVA R-I,1050,AVA HIGH, 195.00 , 405.00 ,48.10%,,,,,,,,
034-124,AVA R-I,3000,AVA MIDDLE, 227.00 , 383.00 ,59.30%,,,,,,,,
034-124,AVA R-I,4020,AVA ELEM., 323.00 , 485.04 ,66.60%,,,,,,,,
035-092,MALDEN R-I,1050,MALDEN HIGH, 412.60 , 412.99 ,99.90%,Yes,,,,,,,
035-092,MALDEN R-I,4020,MALDEN LOWER ELEM., 395.50 , 395.50 ,100.00%,Yes,,,,,,,
035-093,CAMPBELL R-II,1050,CAMPBELL HIGH, 144.00 , 247.00 ,58.30%,,,,,,,,
035-093,CAMPBELL R-II,4020,CAMPBELL ELEM., 171.00 , 265.00 ,64.50%,,,,,,,,
035-094,HOLCOMB R-III,1050,HOLCOMB HIGH, 206.00 , 206.00 ,100.00%,Yes,,,,,,,
035-094,HOLCOMB R-III,4020,HOLCOMB ELEM., 197.00 , 197.00 ,100.00%,Yes,,,,,,,
035-097,CLARKTON C-4,1050,CLARKTON HIGH, 82.00 , 128.00 ,64.10%,Yes,,,,,,,
035-097,CLARKTON C-4,4020,CLARKTON ELEM., 125.00 , 148.00 ,84.50%,Yes,,,,,,,
035-098,SENATH-HORNERSVILLE C-8,1050,SENATH-HORNERSVILLE HIGH SCHOO, 216.00 , 216.00 ,100.00%,Yes,,,,,,,
035-098,SENATH-HORNERSVILLE C-8,3000,SENATH-HORNERSVILLE MIDDLE SCH, 206.00 , 206.00 ,100.00%,Yes,,,,,,,
035-098,SENATH-HORNERSVILLE C-8,4010,SENATH-HORNERSVILLE ELEM SCH, 251.00 , 251.00 ,100.00%,Yes,,,,,,,
035-099,SOUTHLAND C-9,1050,SOUTHLAND HIGH, 104.00 , 104.00 ,100.00%,Yes,,,,,,,
035-099,SOUTHLAND C-9,4020,SOUTHLAND ELEM., 132.00 , 132.00 ,100.00%,Yes,,,,,,,
035-102,KENNETT 39,1050,KENNETT HIGH, 478.00 , 478.00 ,100.00%,Yes,,,,,,,
035-102,KENNETT 39,3000,KENNETT MIDDLE, 410.00 , 410.00 ,100.00%,Yes,,,,,,,
035-102,KENNETT 39,4040,H. BYRON MASTERSON ELEM., 461.00 , 461.00 ,100.00%,Yes,,,,,,,
035-102,KENNETT 39,4080,SOUTH ELEM., 404.00 , 404.00 ,100.00%,Yes,,,,,,,
036-123,FRANKLIN CO. R-II,4020,FRANKLIN CO. ELEM., 29.00 , 117.00 ,24.80%,,,,,,,,
036-126,MERAMEC VALLEY R-III,1050,PACIFIC HIGH, 320.60 , 933.33 ,34.40%,,,,,,,,
036-126,MERAMEC VALLEY R-III,3000,PACIFIC INTERMEDIATE, 187.00 , 434.00 ,43.10%,,,,,,,,
036-126,MERAMEC VALLEY R-III,3020,RIVERBEND SCH., 182.80 , 452.37 ,40.40%,,,,,,,,
036-126,MERAMEC VALLEY R-III,4020,COLEMAN ELEM., 139.50 , 229.70 ,60.70%,,,,,,,,
036-126,MERAMEC VALLEY R-III,4030,NIKE ELEM., 79.60 , 179.56 ,44.30%,,,,,,,,
036-126,MERAMEC VALLEY R-III,4040,ZITZMAN ELEM., 116.50 , 315.83 ,36.90%,,,,,,,,
036-126,MERAMEC VALLEY R-III,4060,ROBERTSVILLE ELEM., 85.70 , 158.38 ,54.10%,,,,,,,,
036-126,MERAMEC VALLEY R-III,4080,TRUMAN ELEM., 86.80 , 193.35 ,44.90%,,,,,,,,
036-131,UNION R-XI,1050,UNION HIGH, 342.20 , 983.63 ,34.80%,,,,,,,,
036-131,UNION R-XI,3000,UNION MIDDLE, 283.90 , 675.52 ,42.00%,,,,,,,,
036-131,UNION R-XI,4020,BEAUFORT ELEM., 122.00 , 323.53 ,37.70%,,,,,,,,
036-131,UNION R-XI,4030,PRAIRIE DELL ELEMENTARY, 206.00 , 429.00 ,48.00%,,,,,,,,
036-131,UNION R-XI,4040,CENTRAL ELEM., 325.00 , 609.18 ,53.40%,,,,,,,,
036-133,LONEDELL R-14,4020,LONEDELL ELEM., 159.10 , 316.11 ,50.30%,,,,,,,,
036-134,SPRING BLUFF R-XV,4020,SPRING BLUFF ELEM., 27.00 , 220.00 ,12.30%,,,,,,,,
036-135,STRAIN-JAPAN R-XVI,4020,STRAIN-JAPAN ELEM., 24.00 , 70.00 ,34.30%,,,,,,,,
036-136,ST. CLAIR R-XIII,1050,ST. CLAIR HIGH, 256.80 , 572.50 ,44.90%,,,,,,,,
036-136,ST. CLAIR R-XIII,2050,ST. CLAIR JR. HIGH, 190.90 , 444.72 ,42.90%,,,,,,,,
036-136,ST. CLAIR R-XIII,4020,ST. CLAIR ELEM., 259.80 , 464.47 ,55.90%,,,,,,,,
036-136,ST. CLAIR R-XIII,4040,EDGAR MURRAY ELEM., 230.10 , 466.12 ,49.40%,,,,,,,,
036-137,SULLIVAN,1050,SULLIVAN SR. HIGH, 225.90 , 577.48 ,39.10%,,,,,,,,
036-137,SULLIVAN,3000,SULLIVAN MIDDLE, 185.00 , 425.71 ,43.50%,,,,,,,,
036-137,SULLIVAN,4020,SULLIVAN ELEM., 214.00 , 428.25 ,50.00%,,,,,,,,
036-137,SULLIVAN,4040,SULLIVAN PRIMARY, 249.60 , 436.07 ,57.20%,,,,,,,,
036-138,NEW HAVEN,1050,NEW HAVEN HIGH, 33.00 , 117.00 ,28.20%,,,,,,,,
036-138,NEW HAVEN,3000,NEW HAVEN MIDDLE, 28.00 , 72.00 ,38.90%,,,,,,,,
036-138,NEW HAVEN,4020,NEW HAVEN ELEM., 100.00 , 253.00 ,39.50%,,,,,,,,
036-139,WASHINGTON,1050,Washington High School, 242.40 ," 1,259.95 ",19.20%,,,,,,,,
036-139,WASHINGTON,3000,Washington Middle, 154.00 , 543.97 ,28.30%,,,,,,,,
036-139,WASHINGTON,4020,Augusta Elementary, 27.00 , 119.00 ,22.70%,,,,,,,,
036-139,WASHINGTON,4040,Campbellton Elementary, 9.00 , 131.05 ,6.90%,,,,,,,,
036-139,WASHINGTON,4060,Clearview Elementary, 66.00 , 309.43 ,21.30%,,,,,,,,
036-139,WASHINGTON,4100,Labadie Elementary, 20.10 , 124.09 ,16.20%,,,,,,,,
036-139,WASHINGTON,4120,Marthasville Elementary, 66.00 , 185.00 ,35.70%,,,,,,,,
036-139,WASHINGTON,4140,South Point Elementary, 139.70 , 413.19 ,33.80%,,,,,,,,
036-139,WASHINGTON,4160,Washington West Elementary, 168.00 , 424.96 ,39.50%,,,,,,,,
037-037,GASCONADE CO. R-II,1050,OWENSVILLE HIGH, 210.50 , 512.27 ,41.10%,,,,,,,,
037-037,GASCONADE CO. R-II,3000,OWENSVILLE MIDDLE, 189.50 , 419.50 ,45.20%,,,,,,,,
037-037,GASCONADE CO. R-II,4020,GERALD ELEM., 143.00 , 270.00 ,53.00%,,,,,,,,
037-037,GASCONADE CO. R-II,4050,OWENSVILLE ELEM., 268.00 , 493.67 ,54.30%,,,,,,,,
037-039,GASCONADE CO. R-I,1050,HERMANN HIGH, 117.60 , 318.61 ,36.90%,,,,,,,,
037-039,GASCONADE CO. R-I,3000,HERMANN MIDDLE, 148.90 , 290.31 ,51.30%,,,,,,,,
037-039,GASCONADE CO. R-I,4060,HERMANN ELEM., 103.30 , 204.71 ,50.40%,,,,,,,,
038-044,KING CITY R-I,1050,KING CITY HIGH, 47.00 , 152.00 ,30.90%,,,,,,,,
038-044,KING CITY R-I,4020,KING CITY ELEM., 68.00 , 171.00 ,39.80%,,,,,,,,
038-045,STANBERRY R-II,1050,STANBERRY HIGH, 37.00 , 139.00 ,26.60%,,,,,,,,
038-045,STANBERRY R-II,4020,STANBERRY ELEM., 62.50 , 216.00 ,28.90%,,,,,,,,
038-046,ALBANY R-III,1050,ALBANY HIGH, 60.00 , 134.00 ,44.80%,,,,,,,,
038-046,ALBANY R-III,3000,ALBANY MIDDLE, 37.00 , 89.00 ,41.60%,,,,,,,,
038-046,ALBANY R-III,4020,VIRGINIA E. GEORGE ELEM., 97.00 , 201.00 ,48.30%,,,,,,,,
039-133,WILLARD R-II,1050,WILLARD HIGH, 379.60 ," 1,257.95 ",30.20%,,,,,,,,
039-133,WILLARD R-II,3050,WILLARD MIDDLE, 246.90 , 722.79 ,34.20%,,,,,,,,
039-133,WILLARD R-II,4000,WILLARD INTERMEDIATE NORTH, 134.50 , 393.09 ,34.20%,,,,,,,,
039-133,WILLARD R-II,4020,WILLARD CENTRAL ELEM., 165.30 , 381.78 ,43.30%,,,,,,,,
039-133,WILLARD R-II,4040,WILLARD SOUTH ELEM., 188.50 , 344.50 ,54.70%,,,,,,,,
039-133,WILLARD R-II,4060,WILLARD EAST ELEM., 103.50 , 311.52 ,33.20%,,,,,,,,
039-133,WILLARD R-II,4080,WILLARD NORTH ELEM., 124.00 , 280.01 ,44.30%,,,,,,,,
039-133,WILLARD R-II,4090,WILLARD INTERMEDIATE-SOUTH, 150.00 , 314.15 ,47.70%,,,,,,,,
039-133,WILLARD R-II,5000,WILLARD ORCHARD HILLS ELEM, 153.00 , 359.82 ,42.50%,,,,,,,,
039-134,REPUBLIC R-III,1050,REPUBLIC HIGH, 413.20 ," 1,435.93 ",28.80%,,,,,,,,
039-134,REPUBLIC R-III,3000,REPUBLIC MIDDLE, 445.00 ," 1,158.30 ",38.40%,,,,,,,,
039-134,REPUBLIC R-III,4050,PRICE ELEMENTARY, 199.00 , 487.59 ,40.80%,,,,,,,,
039-134,REPUBLIC R-III,4060,MCCULLOCH ELEMENTARY, 150.00 , 460.00 ,32.60%,,,,,,,,
039-134,REPUBLIC R-III,4070,SCHOFIELD ELEMENTARY, 202.00 , 495.00 ,40.80%,,,,,,,,
039-134,REPUBLIC R-III,4080,LYON ELEMENTARY, 175.00 , 432.53 ,40.50%,,,,,,,,
039-134,REPUBLIC R-III,4090,SWEENY ELEMENTARY, 202.80 , 506.86 ,40.00%,,,,,,,,
039-135,ASH GROVE R-IV,1050,ASH GROVE HIGH, 111.90 , 324.21 ,34.50%,,,,,,,,
039-135,ASH GROVE R-IV,4020,ASH GROVE ELEM., 104.00 , 205.07 ,50.70%,,,,,,,,
039-135,ASH GROVE R-IV,4040,BOIS D'ARC ELEM., 70.00 , 146.00 ,47.90%,,,,,,,,
039-136,WALNUT GROVE R-V,1050,WALNUT GROVE HIGH, 39.50 , 130.55 ,30.30%,,,,,,,,
039-136,WALNUT GROVE R-V,4020,WALNUT GROVE ELEM., 65.80 , 139.77 ,47.10%,,,,,,,,
039-137,STRAFFORD R-VI,1050,STRAFFORD HIGH, 151.00 , 394.00 ,38.30%,,,,,,,,
039-137,STRAFFORD R-VI,3000,STRAFFORD MIDDLE, 158.00 , 437.00 ,36.20%,,,,,,,,
039-137,STRAFFORD R-VI,4020,STRAFFORD ELEM., 200.00 , 509.00 ,39.30%,,,,,,,,
039-139,LOGAN-ROGERSVILLE R-VIII,1050,LOGAN-ROGERSVILLE HIGH, 170.50 , 683.72 ,24.90%,,,,,,,,
039-139,LOGAN-ROGERSVILLE R-VIII,3050,LOGAN-ROGERSVILLE MIDDLE, 110.70 , 387.32 ,28.60%,,,,,,,,
039-139,LOGAN-ROGERSVILLE R-VIII,4020,LOGAN-ROGERSVILLE PRIMARY, 141.70 , 370.05 ,38.30%,,,,,,,,
039-139,LOGAN-ROGERSVILLE R-VIII,4030,LOGAN-ROGERSVILLE ELEMENTARY, 117.40 , 351.39 ,33.40%,,,,,,,,
039-139,LOGAN-ROGERSVILLE R-VIII,4040,LOGAN-ROGERSVILLE UPPER ELEM., 169.00 , 528.02 ,32.00%,,,,,,,,
039-141,SPRINGFIELD R-XII,1050,CENTRAL HIGH, 733.40 ," 1,477.97 ",49.60%,,,,,,,,
039-141,SPRINGFIELD R-XII,1075,GLENDALE HIGH, 429.40 ," 1,332.02 ",32.20%,,,,,,,,
039-141,SPRINGFIELD R-XII,1080,HILLCREST HIGH, 600.40 , 963.11 ,62.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,1085,KICKAPOO HIGH, 494.80 ," 1,956.00 ",25.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,1095,PARKVIEW HIGH, 721.50 ," 1,233.79 ",58.50%,,,,,,,,
039-141,SPRINGFIELD R-XII,3000,CARVER MIDDLE, 423.70 , 709.87 ,59.70%,,,,,,,,
039-141,SPRINGFIELD R-XII,3020,CHEROKEE MIDDLE, 192.10 , 767.55 ,25.00%,,,,,,,,
039-141,SPRINGFIELD R-XII,3040,HICKORY HILLS MIDDLE, 188.90 , 416.64 ,45.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,3060,JARRETT MIDDLE, 298.00 , 450.99 ,66.10%,,,,,,,,
039-141,SPRINGFIELD R-XII,3080,PERSHING MIDDLE, 276.60 , 707.55 ,39.10%,,,,,,,,
039-141,SPRINGFIELD R-XII,3100,PIPKIN MIDDLE, 296.70 , 359.85 ,82.50%,,,,,,,,
039-141,SPRINGFIELD R-XII,3120,PLEASANT VIEW MIDDLE, 211.00 , 383.57 ,55.00%,,,,,,,,
039-141,SPRINGFIELD R-XII,3140,REED MIDDLE, 372.20 , 538.36 ,69.10%,,,,,,,,
039-141,SPRINGFIELD R-XII,3160,WESTPORT MIDDLE SCHOOL, 369.70 , 431.85 ,85.60%,,,,,,,,
039-141,SPRINGFIELD R-XII,4040,BINGHAM ELEM., 319.00 , 441.00 ,72.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,4060,BISSETT ELEM., 195.50 , 225.54 ,86.70%,,,,,,,,
039-141,SPRINGFIELD R-XII,4080,BOWERMAN ELEM., 202.30 , 225.25 ,89.80%,,,,,,,,
039-141,SPRINGFIELD R-XII,4100,BOYD ELEM., 106.50 , 137.54 ,77.50%,,,,,,,,
039-141,SPRINGFIELD R-XII,4140,COWDEN ELEM., 155.50 , 256.54 ,60.60%,,,,,,,,
039-141,SPRINGFIELD R-XII,4150,DAVID HARRISON ELEMENTARY, 90.00 , 250.00 ,36.00%,,,,,,,,
039-141,SPRINGFIELD R-XII,4160,DELAWARE ELEM., 192.00 , 273.21 ,70.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,4240,FIELD ELEM., 113.40 , 386.28 ,29.40%,,,,,,,,
039-141,SPRINGFIELD R-XII,4260,FREMONT ELEM., 314.00 , 377.00 ,83.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,4270,GRAY ELEM., 92.00 , 432.00 ,21.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,4280,HICKORY HILLS ELEM., 86.00 , 357.00 ,24.10%,,,,,,,,
039-141,SPRINGFIELD R-XII,4300,HOLLAND ELEM., 180.00 , 236.32 ,76.20%,,,,,,,,
039-141,SPRINGFIELD R-XII,4320,HORACE MANN ELEM., 249.00 , 406.00 ,61.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,4330,JEFFRIES ELEM., 327.00 , 442.00 ,74.00%,,,,,,,,
039-141,SPRINGFIELD R-XII,4340,WALT DISNEY ELEM., 140.50 , 562.92 ,25.00%,,,,,,,,
039-141,SPRINGFIELD R-XII,4360,MARK TWAIN ELEM., 232.00 , 334.00 ,69.50%,,,,,,,,
039-141,SPRINGFIELD R-XII,4380,MCBRIDE ELEM., 98.00 , 384.00 ,25.50%,,,,,,,,
039-141,SPRINGFIELD R-XII,4400,MCGREGOR ELEM., 239.10 , 276.85 ,86.40%,,,,,,,,
039-141,SPRINGFIELD R-XII,4460,PERSHING ELEM., 89.00 , 160.00 ,55.60%,,,,,,,,
039-141,SPRINGFIELD R-XII,4500,PITTMAN ELEM., 146.90 , 227.94 ,64.50%,,,,,,,,
039-141,SPRINGFIELD R-XII,4510,PLEASANT VIEW ELEM., 101.00 , 177.00 ,57.10%,,,,,,,,
039-141,SPRINGFIELD R-XII,4560,ROBBERSON ELEM., 152.00 , 172.00 ,88.40%,,,,,,,,
039-141,SPRINGFIELD R-XII,4580,ROUNTREE ELEM., 110.20 , 234.23 ,47.10%,,,,,,,,
039-141,SPRINGFIELD R-XII,4600,SEQUIOTA ELEM., 123.10 , 349.34 ,35.20%,,,,,,,,
039-141,SPRINGFIELD R-XII,4640,SHERWOOD ELEM., 289.00 , 471.81 ,61.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,4680,SUNSHINE ELEM., 242.60 , 335.12 ,72.40%,,,,,,,,
039-141,SPRINGFIELD R-XII,4710,TRUMAN ELEM., 107.20 , 240.90 ,44.50%,,,,,,,,
039-141,SPRINGFIELD R-XII,4720,WATKINS ELEM., 199.80 , 249.81 ,80.00%,,,,,,,,
039-141,SPRINGFIELD R-XII,4740,WEAVER ELEM., 206.70 , 225.61 ,91.60%,,,,,,,,
039-141,SPRINGFIELD R-XII,4760,WELLER ELEM., 241.30 , 290.32 ,83.10%,,,,,,,,
039-141,SPRINGFIELD R-XII,4780,WESTPORT ELEM., 323.00 , 370.00 ,87.30%,,,,,,,,
039-141,SPRINGFIELD R-XII,4800,WILDER ELEM., 132.00 , 341.36 ,38.70%,,,,,,,,
039-141,SPRINGFIELD R-XII,4820,WILLIAMS ELEM., 241.90 , 283.32 ,85.40%,,,,,,,,
039-141,SPRINGFIELD R-XII,4830,WILSON'S CREEK 5-6 INTER. CTR., 119.00 , 469.00 ,25.40%,,,,,,,,
039-141,SPRINGFIELD R-XII,4840,YORK ELEM., 179.90 , 199.92 ,90.00%,,,,,,,,
039-141,SPRINGFIELD R-XII,8000,MOCAP Attendance Center, 20.00 , 656.00 ,3.00%,,,,,,,,
039-142,FAIR GROVE R-X,1050,FAIR GROVE HIGH, 111.00 , 366.00 ,30.30%,,,,,,,,
039-142,FAIR GROVE R-X,3000,FAIR GROVE MIDDLE, 115.00 , 361.92 ,31.80%,,,,,,,,
039-142,FAIR GROVE R-X,4020,FAIR GROVE ELEM., 175.00 , 459.00 ,38.10%,,,,,,,,
040-100,GRUNDY CO. R-V,1050,GRUNDY CO. HIGH, 31.00 , 63.00 ,49.20%,,,,,,,,
040-100,GRUNDY CO. R-V,4020,GRUNDY CO. ELEM., 28.00 , 50.00 ,56.00%,,,,,,,,
040-101,SPICKARD R-II,4020,SPICKARD ELEM., 11.00 , 17.00 ,64.70%,,,,,,,,
040-103,PLEASANT VIEW R-VI,4020,PLEASANT VIEW ELEM., 12.00 , 61.00 ,19.70%,,,,,,,,
040-104,LAREDO R-VII,4020,LAREDO ELEM., 19.00 , 46.00 ,41.30%,,,,,,,,
040-107,TRENTON R-IX,1050,TRENTON SR. HIGH, 114.50 , 282.50 ,40.50%,,,,,,,,
040-107,TRENTON R-IX,3000,TRENTON MIDDLE, 148.50 , 310.50 ,47.80%,,,,,,,,
040-107,TRENTON R-IX,4060,RISSLER ELEM., 222.40 , 401.35 ,55.40%,,,,,,,,
041-001,CAINSVILLE R-I,1050,CAINSVILLE HIGH, 24.00 , 46.00 ,52.20%,,,,,,,,
041-001,CAINSVILLE R-I,4020,CAINSVILLE ELEM., 23.00 , 30.00 ,76.70%,,,,,,,,
041-002,SOUTH HARRISON CO. R-II,1050,SOUTH HARRISON HIGH, 106.50 , 248.50 ,42.90%,,,,,,,,
041-002,SOUTH HARRISON CO. R-II,3000,SOUTH HARRISON MIDDLE, 130.30 , 241.50 ,53.90%,,,,,,,,
041-002,SOUTH HARRISON CO. R-II,4020,SOUTH HARRISON ELEM., 183.00 , 307.02 ,59.60%,,,,,,,,
041-003,NORTH HARRISON R-III,1050,NORTH HARRISON HIGH, 41.00 , 92.00 ,44.60%,,,,,,,,
041-003,NORTH HARRISON R-III,4020,NORTH HARRISON ELEM., 36.00 , 95.00 ,37.90%,,,,,,,,
041-004,GILMAN CITY R-IV,1050,GILMAN CITY HIGH, 39.00 , 70.00 ,55.70%,,,,,,,,
041-004,GILMAN CITY R-IV,4020,GILMAN CITY ELEM., 51.00 , 78.00 ,65.40%,,,,,,,,
041-005,RIDGEWAY R-V,1050,RIDGEWAY HIGH, 23.50 , 34.00 ,69.10%,,,,,,,,
041-005,RIDGEWAY R-V,4020,RIDGEWAY ELEM., 27.00 , 31.00 ,87.10%,,,,,,,,
042-111,HENRY CO. R-I,1050,WINDSOR HIGH, 162.00 , 323.00 ,50.20%,,,,,,,,
042-111,HENRY CO. R-I,4020,WINDSOR ELEM., 224.60 , 363.60 ,61.80%,,,,,,,,
042-113,SHAWNEE R-III,4020,SHAWNEE ELEM., 26.00 , 54.00 ,48.10%,,,,,,,,
042-117,CALHOUN R-VIII,1050,CALHOUN HIGH, 12.00 , 30.50 ,39.30%,,,,,,,,
042-117,CALHOUN R-VIII,4020,CALHOUN ELEM., 38.00 , 56.00 ,67.90%,,,,,,,,
042-118,LEESVILLE R-IX,4020,LEESVILLE ELEM., 81.00 , 81.00 ,100.00%,Yes,,,,,,,
042-119,DAVIS R-XII,4020,Davis Elem., 10.00 , 43.00 ,23.30%,,,,,,,,
042-121,MONTROSE R-XIV,1050,MONTROSE HIGH, 17.00 , 50.00 ,34.00%,,,,,,,,
042-121,MONTROSE R-XIV,4020,MONTROSE ELEM., 16.00 , 23.00 ,69.60%,,,,,,,,
042-124,CLINTON,1050,CLINTON SR. HIGH, 192.20 , 532.50 ,36.10%,,,,,,,,
042-124,CLINTON,3000,CLINTON MIDDLE, 162.00 , 354.67 ,45.70%,,,,,,,,
042-124,CLINTON,4070,HENRY ELEM., 206.00 , 371.48 ,55.50%,,,,,,,,
